"","Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinType2","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","BuildingAge","Revonated"
"1",1,"60","RL",65,8450,"Pave","No Alley","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story","7","5","Gable","CompShg","VinylSd","VinylSd","BrkFace",196,"Gd","TA","PConc","Gd","TA","No","GLQ","Unf",856,"GasA","Ex","Y","SBrkr",1710,"1","0","2","1","3","1","Gd","8","Typ","0","NoFirePlc","Attchd","RFn","2",548,"TA","TA","Y",0,61,0,0,0,0,"NoPool","NoFence","None",0,"2","2008","WD","Normal",208500,"16","16"
"2",2,"20","RL",80,9600,"Pave","No Alley","Reg","Lvl","AllPub","FR2","Gtl","Veenker","Feedr","Norm","1Fam","1Story","6","8","Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","Gd","TA","Gd","ALQ","Unf",1262,"GasA","Ex","Y","SBrkr",1262,"0","1","2","0","3","1","TA","6","Typ","1","TA","Attchd","RFn","2",460,"TA","TA","Y",298,0,0,0,0,0,"NoPool","NoFence","None",0,"5","2007","WD","Normal",181500,"43","43"
"3",3,"60","RL",68,11250,"Pave","No Alley","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story","7","5","Gable","CompShg","VinylSd","VinylSd","BrkFace",162,"Gd","TA","PConc","Gd","TA","Mn","GLQ","Unf",920,"GasA","Ex","Y","SBrkr",1786,"1","0","2","1","3","1","Gd","6","Typ","1","TA","Attchd","RFn","2",608,"TA","TA","Y",0,42,0,0,0,0,"NoPool","NoFence","None",0,"9","2008","WD","Normal",223500,"18","17"
"4",4,"70","RL",60,9550,"Pave","No Alley","IR1","Lvl","AllPub","Corner","Gtl","Crawfor","Norm","Norm","1Fam","2Story","7","5","Gable","CompShg","Wd Sdng","Wd Shng","None",0,"TA","TA","BrkTil","TA","Gd","No","ALQ","Unf",756,"GasA","Gd","Y","SBrkr",1717,"1","0","1","0","3","1","Gd","7","Typ","1","Gd","Detchd","Unf","3",642,"TA","TA","Y",0,35,272,0,0,0,"NoPool","NoFence","None",0,"2","2006","WD","Abnorml",140000,"104","49"
"5",5,"60","RL",84,14260,"Pave","No Alley","IR1","Lvl","AllPub","FR2","Gtl","NoRidge","Norm","Norm","1Fam","2Story","8","5","Gable","CompShg","VinylSd","VinylSd","BrkFace",350,"Gd","TA","PConc","Gd","TA","Av","GLQ","Unf",1145,"GasA","Ex","Y","SBrkr",2198,"1","0","2","1","4","1","Gd","9","Typ","1","TA","Attchd","RFn","3",836,"TA","TA","Y",192,84,0,0,0,0,"NoPool","NoFence","None",0,"12","2008","WD","Normal",250000,"19","19"
"6",6,"50","RL",85,14115,"Pave","No Alley","IR1","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Norm","1Fam","1.5Fin","5","5","Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","Wood","Gd","TA","No","GLQ","Unf",796,"GasA","Ex","Y","SBrkr",1362,"1","0","1","1","1","1","TA","5","Typ","0","NoFirePlc","Attchd","Unf","2",480,"TA","TA","Y",40,30,0,320,0,0,"NoPool","MnPrv","Shed",700,"10","2009","WD","Normal",143000,"26","24"
"7",7,"20","RL",75,10084,"Pave","No Alley","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story","8","5","Gable","CompShg","VinylSd","VinylSd","Stone",186,"Gd","TA","PConc","Ex","TA","Av","GLQ","Unf",1686,"GasA","Ex","Y","SBrkr",1694,"1","0","2","0","3","1","Gd","7","Typ","1","Gd","Attchd","RFn","2",636,"TA","TA","Y",255,57,0,0,0,0,"NoPool","NoFence","None",0,"8","2007","WD","Normal",307000,"15","14"
"8",8,"60","RL",69,10382,"Pave","No Alley","IR1","Lvl","AllPub","Corner","Gtl","NWAmes","PosN","Norm","1Fam","2Story","7","6","Gable","CompShg","HdBoard","HdBoard","Stone",240,"TA","TA","CBlock","Gd","TA","Mn","ALQ","BLQ",1107,"GasA","Ex","Y","SBrkr",2090,"1","0","2","1","3","1","TA","7","Typ","2","TA","Attchd","RFn","2",484,"TA","TA","Y",235,204,228,0,0,0,"NoPool","NoFence","Shed",350,"11","2009","WD","Normal",200000,"46","46"
"9",9,"50","RM",51,6120,"Pave","No Alley","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1.5Fin","7","5","Gable","CompShg","BrkFace","Wd Shng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf","Unf",952,"GasA","Gd","Y","FuseF",1774,"0","0","2","0","2","2","TA","8","Min1","2","TA","Detchd","Unf","2",468,"Fa","TA","Y",90,0,205,0,0,0,"NoPool","NoFence","None",0,"4","2008","WD","Abnorml",129900,"88","69"
"10",10,"190","RL",50,7420,"Pave","No Alley","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Artery","Artery","2fmCon","1.5Unf","5","6","Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","GLQ","Unf",991,"GasA","Ex","Y","SBrkr",1077,"1","0","1","0","2","2","TA","5","Typ","2","TA","Attchd","RFn","1",205,"Gd","TA","Y",0,4,0,0,0,0,"NoPool","NoFence","None",0,"1","2008","WD","Normal",118000,"80","69"
